neighbourhood_group,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Manhattan,Entire home/apt,100.0,4,1,45.0
Brooklyn,Entire home/apt,299.0,3,1,45.0
Brooklyn,Private room,250.0,3,1,189.0
Brooklyn,Private room,249.0,3,28,60.0
Queens,Private room,140.0,2,1,1.0
Brooklyn,Private room,55.0,2,1,45.0
Brooklyn,Private room,90.0,1,1,245.0
Manhattan,Entire home/apt,95.0,30,52,365.0
Manhattan,Private room,80.0,1,1,45.0
Manhattan,Entire home/apt,250.0,14,1,78.0
Brooklyn,Entire home/apt,125.0,30,1,341.0
Queens,Private room,55.0,80,1,119.0
Manhattan,Private room,115.0,7,1,178.0
Brooklyn,Private room,150.0,4,1,45.0
Manhattan,Entire home/apt,700.0,5,1,365.0
Manhattan,Entire home/apt,125.0,4,3,181.0
Brooklyn,Entire home/apt,90.0,4,1,45.0
Brooklyn,Private room,350.0,2,1,365.0
Brooklyn,Private room,68.0,7,1,87.0
Queens,Entire home/apt,140.0,14,5,365.0
Brooklyn,Entire home/apt,250.0,30,2,250.0
Manhattan,Private room,65.0,2,1,312.0
Brooklyn,Private room,65.0,7,3,45.0
Queens,Private room,80.0,3,1,330.0
Brooklyn,Entire home/apt,60.0,3,1,45.0
Manhattan,Private room,195.0,1,1,129.0
Manhattan,Entire home/apt,200.0,27,1,45.0
Brooklyn,Entire home/apt,200.0,5,1,45.0
Brooklyn,Entire home/apt,175.0,26,1,364.0
Manhattan,Entire home/apt,100.0,5,1,45.0
Queens,Entire home/apt,75.0,3,1,45.0
Manhattan,Entire home/apt,145.0,5,1,45.0
Manhattan,Entire home/apt,170.0,4,1,273.0
Manhattan,Entire home/apt,5000.0,1,1,365.0
Brooklyn,Entire home/apt,290.0,30,1,45.0
Manhattan,Entire home/apt,99.0,8,1,45.0
Manhattan,Entire home/apt,150.0,1,1,45.0
Manhattan,Entire home/apt,375.0,3,1,45.0
Manhattan,Private room,220.0,1,2,364.0
Manhattan,Entire home/apt,187.0,14,1,45.0
Manhattan,Entire home/apt,150.0,1,1,45.0
Manhattan,Entire home/apt,263.0,30,2,33.0
Brooklyn,Entire home/apt,215.0,3,2,300.0
Brooklyn,Entire home/apt,100.0,365,1,365.0
Manhattan,Entire home/apt,175.0,3,1,45.0
Brooklyn,Entire home/apt,160.0,6,1,45.0
Brooklyn,Entire home/apt,225.0,4,1,342.0
Manhattan,Private room,75.0,5,1,45.0
Brooklyn,Private room,30.0,3,3,45.0
Manhattan,Entire home/apt,250.0,30,1,35.0
Manhattan,Entire home/apt,169.0,120,1,36.0
Manhattan,Entire home/apt,175.0,65,1,358.0
Manhattan,Private room,300.0,6,1,45.0
Brooklyn,Private room,47.0,15,1,45.0
Manhattan,Entire home/apt,160.0,4,1,45.0
Manhattan,Private room,179.0,1,1,45.0
Brooklyn,Entire home/apt,100.0,90,1,250.0
Brooklyn,Private room,75.0,5,2,45.0
Brooklyn,Entire home/apt,175.0,2,1,246.0
Manhattan,Private room,270.0,5,1,210.0
Brooklyn,Entire home/apt,100.0,5,1,45.0
Manhattan,Entire home/apt,220.0,25,1,350.0
Brooklyn,Entire home/apt,150.0,3,1,45.0
Brooklyn,Private room,85.0,15,1,339.0
Manhattan,Entire home/apt,150.0,7,1,45.0
Brooklyn,Entire home/apt,145.0,14,1,45.0
Manhattan,Entire home/apt,195.0,31,1,273.0
Brooklyn,Entire home/apt,160.0,4,2,34.0
Manhattan,Private room,125.0,1,1,311.0
Brooklyn,Entire home/apt,149.0,4,1,45.0
Manhattan,Private room,125.0,1,1,364.0
Brooklyn,Entire home/apt,115.0,7,1,45.0
Brooklyn,Entire home/apt,165.0,7,1,157.0
Brooklyn,Entire home/apt,138.0,7,1,45.0
Brooklyn,Entire home/apt,40.0,15,3,365.0
Brooklyn,Private room,69.0,3,3,284.0
Manhattan,Entire home/apt,120.0,60,1,45.0
Manhattan,Private room,119.0,3,1,45.0
Manhattan,Private room,85.0,1,1,365.0
Brooklyn,Private room,59.0,21,3,45.0
Manhattan,Entire home/apt,150.0,3,1,45.0
Brooklyn,Entire home/apt,300.0,30,1,45.0
Brooklyn,Private room,56.0,1,1,45.0
Brooklyn,Private room,60.0,1,1,45.0
Manhattan,Entire home/apt,675.0,5,1,45.0
Manhattan,Private room,106.0,1,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Brooklyn,Entire home/apt,150.0,3,1,45.0
Queens,Private room,63.0,2,3,249.0
Manhattan,Private room,55.0,1,1,45.0
Queens,Entire home/apt,65.0,4,1,45.0
Queens,Private room,50.0,4,1,45.0
Queens,Private room,60.0,1,2,184.0
Manhattan,Entire home/apt,180.0,2,1,45.0
Manhattan,Private room,255.0,4,1,365.0
Manhattan,Entire home/apt,166.0,1,1,188.0
Manhattan,Entire home/apt,159.0,3,1,45.0
Brooklyn,Private room,85.0,14,1,45.0
Brooklyn,Private room,40.0,1,1,45.0
